Date,Average Cost
2018-01-01,9.7
2018-01-02,20.2
2018-01-03,34.2
2018-01-04,31.5
2018-01-05,27.9
2018-01-06,24.9
2018-01-07,29.4
2018-01-08,31.4
2018-01-09,25.4
2018-01-10,34.4
2018-01-11,33.4
2018-01-12,29.5
2018-01-13,29.1
2018-01-14,28.6
2018-01-15,26.4
2018-01-16,31.4
2018-01-17,35.4
2018-01-18,33.1
2018-01-19,31.2
2018-01-20,30.9
2018-01-21,31.4
2018-01-22,29.6
2018-01-23,24.7
2018-01-24,32.6
2018-01-25,31.9
2018-01-26,30.8
2018-01-27,30.6
2018-01-28,29.6
2018-01-29,27.5
2018-01-30,29.0
2018-01-31,31.3
2018-02-01,31.1
2018-02-02,31.1
2018-02-03,30.5
2018-02-04,29.4
2018-02-05,27.5
2018-02-06,24.4
2018-02-07,30.2
2018-02-08,30.1
2018-02-09,29.7
2018-02-10,29.5
2018-02-11,28.6
2018-02-12,26.8
2018-02-13,27.4
2018-02-14,29.3
2018-02-15,29.2
2018-02-16,29.6
2018-02-17,29.0
2018-02-18,28.0
2018-02-19,26.5
2018-02-20,25.4
2018-02-21,28.7
2018-02-22,28.5
2018-02-23,28.3
2018-02-24,28.0
2018-02-25,27.2
2018-02-26,26.0
2018-02-27,26.4
2018-02-28,27.7
2018-03-01,27.5
2018-03-02,27.8
2018-03-03,27.3
2018-03-04,26.5
2018-03-05,25.6
2018-03-06,25.5
2018-03-07,27.2
2018-03-08,26.9
2018-03-09,26.8
2018-03-10,26.5
2018-03-11,25.9
2018-03-12,25.2
2018-03-13,25.6
2018-03-14,26.4
2018-03-15,26.2
2018-03-16,26.4
2018-03-17,26.0
2018-03-18,25.4
2018-03-19,25.0
2018-03-20,25.3
2018-03-21,26.1
2018-03-22,25.9
2018-03-23,25.9
2018-03-24,25.6
2018-03-25,25.2
2018-03-26,24.9
2018-03-27,25.3
2018-03-28,25.7
2018-03-29,25.5
2018-03-30,25.6
2018-03-31,25.3
2018-04-01,25.0
2018-04-02,24.9
2018-04-03,25.2
2018-04-04,25.5
2018-04-05,25.4
2018-04-06,25.4
2018-04-07,25.2
2018-04-08,25.0
2018-04-09,24.9
2018-04-10,25.2
2018-04-11,25.4
2018-04-12,25.3
2018-04-13,25.3
2018-04-14,25.1
2018-04-15,25.0
2018-04-16,25.0
2018-04-17,25.2
2018-04-18,25.3
2018-04-19,25.2
2018-04-20,25.2
2018-04-21,25.1
2018-04-22,25.0
2018-04-23,25.0
2018-04-24,25.2
2018-04-25,25.3
2018-04-26,25.2
2018-04-27,25.2
2018-04-28,25.1
2018-04-29,25.0
2018-04-30,25.1
2018-05-01,25.2
2018-05-02,25.2
2018-05-03,25.2
2018-05-04,25.2
2018-05-05,25.1
2018-05-06,25.1
2018-05-07,25.1
2018-05-08,25.2
2018-05-09,25.2
2018-05-10,25.2
2018-05-11,25.2
2018-05-12,25.1
2018-05-13,25.1
2018-05-14,25.2
2018-05-15,25.2
2018-05-16,25.2
2018-05-17,25.2
2018-05-18,25.2
2018-05-19,25.1
2018-05-20,25.1
2018-05-21,25.1
2018-05-22,25.2
2018-05-23,25.2
2018-05-24,25.2
2018-05-25,25.2
2018-05-26,25.1
2018-05-27,25.1
2018-05-28,25.1
2018-05-29,25.1
2018-05-30,25.1
2018-05-31,25.1
2018-06-01,25.1
2018-06-02,25.1
2018-06-03,25.1
2018-06-04,25.1
2018-06-05,25.1
2018-06-06,25.1
2018-06-07,25.1
2018-06-08,25.1
2018-06-09,25.1
2018-06-10,25.1
2018-06-11,25.1
2018-06-12,25.1
2018-06-13,25.1
2018-06-14,25.1
2018-06-15,25.1
2018-06-16,25.1
2018-06-17,25.1
2018-06-18,25.1
2018-06-19,25.1
2018-06-20,25.1
2018-06-21,25.1
2018-06-22,25.1
2018-06-23,25.1
2018-06-24,25.1
2018-06-25,25.1
2018-06-26,25.1
2018-06-27,25.1
2018-06-28,25.1
2018-06-29,25.1
2018-06-30,25.1
2018-07-01,25.1
2018-07-02,25.1
2018-07-03,25.1
2018-07-04,25.1
2018-07-05,25.1
2018-07-06,25.1
2018-07-07,25.1
2018-07-08,25.1
2018-07-09,25.1
2018-07-10,25.1
2018-07-11,25.1
2018-07-12,25.1
2018-07-13,25.1
2018-07-14,25.1
2018-07-15,25.1
2018-07-16,25.1
2018-07-17,25.1
2018-07-18,25.1
2018-07-19,25.1
2018-07-20,25.1
2018-07-21,25.1
2018-07-22,25.1
2018-07-23,25.1
2018-07-24,25.1
2018-07-25,25.1
2018-07-26,25.1
2018-07-27,25.1
2018-07-28,25.1
2018-07-29,25.1
2018-07-30,25.1
2018-07-31,25.1
2018-08-01,25.1
2018-08-02,25.1
2018-08-03,25.1
2018-08-04,25.1
2018-08-05,25.1
2018-08-06,25.1
2018-08-07,25.1
2018-08-08,25.1
2018-08-09,25.1
2018-08-10,25.1
2018-08-11,25.1
2018-08-12,25.1
2018-08-13,25.1
2018-08-14,25.1
2018-08-15,25.1
2018-08-16,25.1
2018-08-17,25.1
2018-08-18,25.1
2018-08-19,25.1
2018-08-20,25.1
2018-08-21,25.1
2018-08-22,25.1
2018-08-23,25.1
2018-08-24,25.1
2018-08-25,25.1
2018-08-26,25.1
2018-08-27,25.1
2018-08-28,25.1
2018-08-29,25.1
2018-08-30,25.1
2018-08-31,25.1
2018-09-01,25.1
2018-09-02,25.1
2018-09-03,25.1
2018-09-04,25.1
2018-09-05,25.1
2018-09-06,25.1
2018-09-07,25.1
2018-09-08,25.1
2018-09-09,25.1
2018-09-10,25.1
2018-09-11,25.1
2018-09-12,25.1
2018-09-13,25.1
2018-09-14,25.1
2018-09-15,25.1
2018-09-16,25.1
2018-09-17,25.1
2018-09-18,25.1
2018-09-19,25.1
2018-09-20,25.1
2018-09-21,25.1
2018-09-22,25.1
2018-09-23,25.1
2018-09-24,25.1
2018-09-25,25.1
2018-09-26,25.1
2018-09-27,25.1
2018-09-28,25.1
2018-09-29,25.1
2018-09-30,25.1
2018-10-01,25.1
2018-10-02,25.1
2018-10-03,25.1
2018-10-04,25.1
2018-10-05,25.1
2018-10-06,25.1
2018-10-07,25.1
2018-10-08,25.1
2018-10-09,25.1
2018-10-10,25.1
2018-10-11,25.1
2018-10-12,25.1
2018-10-13,25.1
2018-10-14,25.1
2018-10-15,25.1
2018-10-16,25.1
2018-10-17,25.1
2018-10-18,25.1
2018-10-19,25.1
2018-10-20,25.1
2018-10-21,25.1
2018-10-22,25.1
2018-10-23,25.1
2018-10-24,25.1
2018-10-25,25.1
2018-10-26,25.1
2018-10-27,25.1
2018-10-28,25.1
2018-10-29,25.1
2018-10-30,25.1
2018-10-31,25.1
2018-11-01,25.1
2018-11-02,25.1
2018-11-03,25.1
2018-11-04,25.1
2018-11-05,25.1
2018-11-06,25.1
2018-11-07,25.1
2018-11-08,25.1
2018-11-09,25.1
2018-11-10,25.1
2018-11-11,25.1
2018-11-12,25.1
2018-11-13,25.1
2018-11-14,25.1
2018-11-15,25.1
2018-11-16,25.1
2018-11-17,25.1
2018-11-18,25.1
2018-11-19,25.1
2018-11-20,25.1
2018-11-21,25.1
2018-11-22,25.1
2018-11-23,25.1
2018-11-24,25.1
2018-11-25,25.1
2018-11-26,25.1
2018-11-27,25.1
2018-11-28,25.1
2018-11-29,25.1
2018-11-30,25.1
2018-12-01,25.1
2018-12-02,25.1
2018-12-03,25.1
2018-12-04,25.1
2018-12-05,25.1
2018-12-06,25.1
2018-12-07,25.1
2018-12-08,25.1
2018-12-09,25.1
2018-12-10,25.1
2018-12-11,25.1
2018-12-12,25.1
2018-12-13,25.1
2018-12-14,25.1
2018-12-15,25.1
2018-12-16,25.1
2018-12-17,26.8
2018-12-18,26.3
2018-12-19,25.7
2018-12-20,25.7
2018-12-21,25.6
2018-12-22,26.1
2018-12-23,25.8
2018-12-24,26.6
2018-12-25,25.9
2018-12-26,25.2
2018-12-27,24.7
2018-12-28,24.5
2018-12-29,24.1
2018-12-30,24.3
2018-12-31,23.0
